277903024391745, 368934106615824, 298537551311799 @ -118, -107, 62
183412557215942, 418647008376557, 219970939624628 @ 72, -215, 133
378231151165434, 338743238211338, 302779683441821 @ -118, -260, -344
344747694290499, 385775363283903, 141297854009676 @ -5, -417, 277
370755040673637, 272949480066524, 124725204564288 @ 89, -22, 441
328046794816634, 182843078041077, 157303657162116 @ 46, 315, 219
312612031070729, 304783157990735, 330247358971828 @ -39, -71, -169
213887387271813, 253994341853086, 349358413004203 @ 32, 34, -68
347747457798306, 261630221530041, 334455794052396 @ -188, 21, -11
321333902294423, 278477702662040, 224364644755505 @ 19, -19, 17
108237825726941, 35610289149402, 57738072497155 @ 100, 300, 352
228640427566623, 349740962250906, 395645995890687 @ -70, -80, -40
122929893243943, 295620850349055, 367645748609003 @ 7, -15, 22
188710705759509, 39537915197976, 244070046639375 @ 266, 555, 18
326524679997679, 250533852558080, 517381016046237 @ -89, 49, -525
52466227579428, 405493859866272, 437136692807229 @ 94, -130, -60
252846839137669, 501830561743928, 174987139917361 @ -18, -361, 199
400141701341444, 470931275755524, 478596389558111 @ -234, -486, -566
342242716982206, 300311913213267, 419431635736885 @ -116, -57, -340
298316329793479, 286480417873423, 238686233673836 @ -9, -29, 41
259982956450299, 265424920849836, 180322543382100 @ 51, 18, 177
120428404185073, 380251035223090, 396292095528135 @ 24, -104, -18
364695445471679, 488140992018298, 374012252252511 @ -183, -391, -171
135087723055996, 244059961860054, 243275120980597 @ 138, 48, 100
374777372081538, 277007452610697, 177497775303342 @ 100, -59, 35
268100133514581, 211544793853674, 459733357750683 @ -6, 116, -328
313364052372949, 292797957834568, 321487649505843 @ -44, -43, -144
153048696785170, 297129809082289, 395698323167387 @ -18, -17, -10
403896511032417, 265219235025480, 132911552781240 @ -83, 46, 457
288056853889317, 165685311923700, 78988299573711 @ 74, 289, 434
189548568548938, 246436519875182, 278749628233628 @ 180, 56, -19
271573942692405, 374468155172967, 292507969579698 @ 65, -237, -93
323712944721171, 275711298835798, 230221196308271 @ 44, -13, -26
235780818782871, 299813153975214, 313646564952951 @ 25, -41, -36
198078490245879, 258890355669698, 237290645900911 @ 260, 35, 28
138169748497080, 301836068943870, 336034301135631 @ 84, -32, -6
192138101135269, 9814419474638, 198588200764272 @ 121, 472, 153
362828379531834, 273116925078738, 180407630079271 @ 8, -12, 98
331945417406159, 230399211435458, 246422171047351 @ -191, 53, 133
255184706938796, 136664380563662, 515752985355757 @ -50, 200, -284
330510175765887, 127622234934666, 111491453713455 @ -81, 330, 328
69741102492183, 206723099530752, 340279978402536 @ 135, 86, 9
143199884065765, 259077054122245, 313293408588017 @ 105, 25, 8
355107203360391, 287994199814426, 157229120672763 @ 149, -116, 207
248680884427257, 245003607481074, 200484501432117 @ -80, 40, 177
359165136483063, 333996041684922, 264533549979891 @ -127, -156, -51
288052161896993, 121363534647116, 289359844203936 @ 229, 578, -291
275595118368031, 203440497139002, 190812621273055 @ 112, 189, 131
481465651188327, 498509459520210, 474486424704135 @ -395, -402, -344
203214285274975, 262824240944858, 238936836201439 @ 112, 22, 77
392446540632329, 267418341285770, 180523598262277 @ -14, 20, -17
300300923103604, 442335210298168, 286049333349751 @ -164, -166, 98
185274515490549, 270029199222117, 324932781792192 @ 121, 9, -63
330150207040379, 218603913180258, 457579877364151 @ -144, 90, -244
361610692700949, 272176815185613, 194157520763496 @ 9, -7, 33
294826848181359, 281857869463658, 271413093538831 @ -16, -17, -19
340281810268127, 285492392058837, 151096537512541 @ 127, -75, 244
328154491057215, 128708855239070, 206646333325364 @ -97, 296, 125
398967865436435, 257877611514170, 151653136962639 @ 109, 188, 258
202815287439645, 365551686243057, 341293021471200 @ 25, -127, -35
208624907656617, 303643087413892, 141090453849191 @ 68, -47, 254
116619551648964, 72716652653913, 338620475629266 @ 16, 207, 49
316570230142779, 157901006004498, 110566093880811 @ 212, 534, 435
314338616223732, 253170921297471, 250011432131761 @ -10, 51, -16
394420763021571, 279821714223450, 168564829467909 @ -55, -84, 105
206030154719246, 214888243398501, 212220927233198 @ 88, 105, 131
135916879432854, 259121901617574, 408342546804529 @ 86, 24, -100
380233819990539, 250438488952590, 204758274951771 @ -19, 126, -96
138711277790175, 195831086658714, 116842370945919 @ 87, 108, 282
259461044888263, 276856591250010, 269392218573199 @ 168, -12, -92
355463056862037, 294626660998446, 213089139930039 @ -70, -74, 38
281596710365429, 65132775235298, 324758356004511 @ 105, 580, -246
230155650418446, 260314943265657, 348985116267540 @ -72, 21, 13
367101254842699, 213299406681024, 135381634159912 @ -29, 270, 317
337061808485374, 289503700056659, 106739935503936 @ 126, -91, 459
306557011720019, 349154903271462, 389390075976043 @ -104, -117, -143
291986833642790, 135986714161082, 323181849380703 @ -68, 236, -54
117467129800871, 270153333417920, 324201457938535 @ 39, 10, 50
386873576522003, 273915554646812, 162882584373595 @ 9, -35, 152
227131878807433, 222723165572932, 516385601931555 @ 24, 85, -348
364558795506319, 491712753098842, 436036363794183 @ -179, -412, -303
307233195121579, 193221854959498, 368635589041431 @ -74, 152, -168
197132646713349, 298345080606182, 400559144403791 @ -34, -22, -46
256292251199541, 127406523088426, 404350076198301 @ 98, 340, -351
